     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Team,Name,G,AB,R,K,PO,BA,K Pct,PO/G
Minnesota Millers,Pat Lemke,9,38,7,20,1,0.184,0.526,0.111
Minnesota Millers,Kyle Kuhlman,8,27,8,5,8,0.296,0.185,1.000
Minnesota Millers,Todd Paulson,6,18,2,8,1,0.111,0.444,0.167
Minnesota Millers,Eric Harms,6,16,2,7,0,0.125,0.438,0.000
Minnesota Millers,Tori Andres-R,5,8,0,8,0,0.000,1.000,0.000
Minnesota Millers,Steve Guerra,8,2,1,0,8,0.500,0.000,1.000
New Jersey Titans,Zak Turner,7,36,21,11,7,0.583,0.306,1.000
New Jersey Titans,Marvin Morgan,7,35,20,11,0,0.571,0.314,0.000
New Jersey Titans,Randy George,7,35,13,11,30,0.371,0.314,4.286
New Jersey Titans,Alphonso Harrell,7,34,17,11,5,0.500,0.324,0.714
New Jersey Titans,Damien Gonzales,7,33,13,10,8,0.394,0.303,1.143
New Jersey Titans,Lamont Bordley,7,31,14,13,8,0.452,0.419,1.143
New Jersey Titans,John Cruz,2,2,0,2,0,0.000,1.000,0.000
New Jersey Titans,Rich Koppenjan,2,2,0,1,0,0.000,0.500,0.000
New Jersey Titans,Walli Salahuddin,6,1,0,1,0,0.000,1.000,0.000
New Jersey Titans,John Patterson,4,0,0,0,4,0.000,0.000,1.000
Oklahoma Lookouts,Mark Ivy-R,8,37,23,8,12,0.622,0.216,1.500
Oklahoma Lookouts,Aaron Higby-R,8,37,20,3,8,0.541,0.081,1.000
Oklahoma Lookouts,Jay Teagal,8,34,18,5,3,0.529,0.147,0.375
Oklahoma Lookouts,Kyle Ivy-R,8,33,15,3,5,0.455,0.091,0.625
Oklahoma Lookouts,Casey Bahn,8,27,9,3,12,0.333,0.111,1.500
Oklahoma Lookouts,David Gwin,7,17,7,4,1,0.412,0.235,0.143
Oklahoma Lookouts,Jay Tysick,5,15,7,3,5,0.467,0.200,1.000
Oklahoma Lookouts,Lea Werner,6,11,2,4,2,0.182,0.364,0.333
Oklahoma Lookouts,Bob Selby,5,9,4,1,0,0.444,0.111,0.000
Oklahoma Lookouts,Greg McDuffie,3,6,3,0,0,0.500,0.000,0.000
Oklahoma Lookouts,Ronnie Dowell,6,6,0,6,2,0.000,1.000,0.333
Philly Fire,Tyler Rodriguez,8,42,28,6,21,0.667,0.143,2.625
Philly Fire,John Margist,8,42,27,6,10,0.643,0.143,1.250
Philly Fire,Scott Hogwood,8,38,27,3,3,0.711,0.079,0.375
Philly Fire,Justin Rhines,8,37,28,3,6,0.757,0.081,0.750
Philly Fire,Casey Krouse,8,36,28,5,35,0.778,0.139,4.375
Philly Fire,Nick Silver,8,29,19,6,1,0.655,0.207,0.125
Philly Fire,Cesar Lazcano,6,14,7,5,2,0.500,0.357,0.333
Philly Fire,Dakota Hogwood,6,3,2,0,1,0.667,0.000,0.167
Philly Fire,Jace Russell-R,5,3,1,1,0,0.333,0.333,0.000
Philly Fire,Gina Natoli,6,3,0,2,1,0.000,0.667,0.167
Philly Fire,Megan Fink,5,2,1,0,2,0.500,0.000,0.400
Philly Fire,Ron Hawthorne,4,2,0,2,0,0.000,1.000,0.000
San Antonio Jets,David Smith,9,47,38,3,11,0.809,0.064,1.222
San Antonio Jets,Axel Cox,9,47,25,9,13,0.532,0.191,1.444
San Antonio Jets,Zach Arambula,9,43,29,6,44,0.674,0.140,4.889
San Antonio Jets,Aaron Almanza,9,42,28,6,3,0.667,0.143,0.333
San Antonio Jets,Ricardo Casteneda,9,39,21,7,27,0.538,0.179,3.000
San Antonio Jets,Will Lopez,6,34,15,7,5,0.441,0.206,0.833
San Antonio Jets,Hector Lara,6,11,9,1,0,0.818,0.091,0.000
SGV Panthers,Jason Esterhuizen,6,23,8,10,16,0.348,0.435,2.667
SGV Panthers,Bee Yang,6,22,11,10,6,0.500,0.455,1.000
SGV Panthers,Jairo Rodriguez,6,18,5,10,3,0.278,0.556,0.500
SGV Panthers,Darren Keepers,6,17,2,8,0,0.118,0.471,0.000
SGV Panthers,Eric Varela,6,15,3,7,3,0.200,0.467,0.500
SGV Panthers,Victor Hernandez,5,13,5,3,1,0.385,0.231,0.200
SGV Panthers,Alex Marositz,6,13,0,6,7,0.000,0.462,1.167
SGV Panthers,Leo Medina,4,10,1,4,1,0.100,0.400,0.250
SGV Panthers,Joe Duncan,3,6,0,3,1,0.000,0.500,0.333
SGV Panthers,Brendan Wright-R,3,2,0,2,1,0.000,1.000,0.333
SGV Panthers,Betsy Estrada,3,1,0,0,0,0.000,0.000,0.000
St Louis Sirens,Klarah Bloomer-R,6,21,1,11,2,0.048,0.524,0.333
St Louis Sirens,Corery Turner-R,6,19,1,10,4,0.053,0.526,0.667
St Louis Sirens,Kim Blumenthal,6,18,2,3,6,0.111,0.167,1.000
St Louis Sirens,Kaitlyn Overshiner-R,6,18,2,8,11,0.111,0.444,1.833
St Louis Sirens,Lauren Morales-R,6,16,0,10,1,0.000,0.625,0.167
St Louis Sirens,Amy Sweigard-R,6,14,1,9,1,0.071,0.643,0.167
St Louis Sirens,Katherine Warren-R,4,7,0,4,0,0.000,0.571,0.000
St Louis Sirens,Whitney Marin-R,2,2,0,1,0,0.000,0.500,0.000
Tyler Tigers,Ronald Jordan,7,37,28,3,7,0.757,0.081,1.000
Tyler Tigers,Larry D Williams,7,34,9,5,9,0.265,0.147,1.286
Tyler Tigers,Carlos Black,7,33,15,10,5,0.455,0.303,0.714
Tyler Tigers,Gregory Roberts,7,31,17,4,6,0.548,0.129,0.857
Tyler Tigers,Alex Barrera,7,31,16,9,3,0.516,0.290,0.429
Tyler Tigers,Tracey Jackson,7,20,1,6,0,0.050,0.300,0.000
Tyler Tigers,John Ingram,5,11,4,3,0,0.364,0.273,0.000
Tyler Tigers,Edgar Erickson,5,8,1,3,1,0.125,0.375,0.200
Tyler Tigers,Joe Smolka,6,0,0,0,2,0.000,0.000,0.333
Tyler Tigers,Rosie Reed,2,0,0,0,2,0.000,0.000,1.000
Tyler Tigers,Larry Reed,1,0,0,0,0,0.000,0.000,0.000
